PCB DATA,,,,,,,,,,,
,,,,,,,,,,,
work_List,현재작업정보(검출현황),,,,,,,,,,
idx,int/key,not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
partList,varchar(200),not null,,,,,,,,,
pcbIDX,int,,,,,,,,,,
memberIDX,int,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PCB_Table,Pcb기판 정보,,,,,,,,,,
idx,int/key,not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
*PCB_Number,varchar(20),not null/unique,부품 번호,,,,,,,,
Name_Type,varchar(100),not null,이름과 유형,,,,,,,,
Image_File,varchar(100),not null,,,,,,,,,
Image_Side,varchar(100),not null,보드 윗면/앞면,,,,,,,,
,,,,,,,,,,,
Part_Table,부품정보,,,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
*Part_Number,varchar(20),not null/unique,부품 번호,,,,,,,,
Name,varchar(10),not null,부품 명,,,,,,,,
PCB_Number,int,not null/PCB_Table,보드 번호,,,,,,,,
Process_Class,varchar(100),,수삽공정,,,,,,,,
Process_Name,varchar(100),,수삽,,,,,,,,
Process_Detail,varchar(100),/unique,작업번호,,,,,,,,
Side,varchar(100),,작업 면(윗면/앞면),,,,,,,,
Image_File,varchar(100),,장착된 대표 이미지,,,,,,,,
Quantity,varchar(100),,,,,,,,,,
Location_1,varchar(100),,장착 위치,,,,,,,,
Location_2,varchar(100),,,,,,,,,,
Location_3,varchar(100),,,,,,,,,,
Location_4,varchar(100),,,,,,,,,,
,,,,,,,,,,,
Process_Table,,,,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
Code,varchar(100),not null,A_01,,,,,,,,
Name,varchar(10),not null/unique,레이저마킹,,,,,,,,
Class,varchar(100),,Automation,,,,,,,,
Sequence,varchar(100),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
pcb_Image_Table,,,,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
PCB_Number,int,not null/PCB_Table,보드 번호,,,,,,,,
Image,varchar(100),not null,이미지명,,,,,,,,
BoundBox,varchar(100),,BB,,,,,,,,
Other,varchar(100),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Connector_Table,,나중에 ,,,,,,,,,
idx,"int, key",,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
*Part_Number,int,not null,부품 번호,,,,,,,,
PCB_Number,int,not null/PCB_Table,보드 번호,,,,,,,,
Image,varchar(100),,이미지,,,,,,,,
BoundingBox,varchar(100),,라벨링,,,,,,,,
Status,varchar(100),,상태,,,,,,,,
Detail,varchar(100),,상세상태,,,,,,,,
,,,,,,,,,,,
Bonding_Structure_Table,,나중에 ,,,,,,,,,
idx,"int, key",,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
Bonding_Number,varchar(100),not null/unique,폐곡선 번호,,,,,,,,
PCB_Number,int,not null/PCB_Table,보드 번호,,,,,,,,
Image,varchar(100),,이미지,,,,,,,,
Polygon,varchar(100),,라벨링,,,,,,,,
Status,varchar(100),,상태,,,,,,,,
Detail,varchar(100),,상세상태,,,,,,,,
,,,,,,,,,,,
Routing_Table,,나중에 ,,,,,,,,,
idx,"int, key",,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
PCB_Number,int,not null/unique,보드 번호,,,,,,,,
Image,int,not null/PCB_Table,이미지,,,,,,,,
Status,varchar(100),,상태,,,,,,,,
Detail,varchar(100),,상세상태,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MEMBER DATA,,,,,,,,,,,
,,,,,,,,,,,
member,,,회원정보 ,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
name,varchar(10),not null,이름,,,,,,,,
location,varchar(100),locations,근무지,,,,,,,,
part,varchar(100),parts,부서 ,,,,,,,,
id ,varchar(20),not null/unique,아이디,,,,,,,,
password,varchar(20),not null,패스워드(암포화),,,,,,,,
last_access,datetime,not null,최근 접속,,,,,,,,
email,varchar(100),not null,이메일,,,,,,,,
level,varchar(100),,권한,,,,,,,,
phone,varchar(100),,전화번호,,,,,,,,
interphone,varchar(100),,구내 번호,,,,,,,,
photo,varchar(100),,사진,,,,,,,,
join_date,datetime,not null,가입일,,,,,,,,
,,,,,,,,,,,
locations,,,근무지 정보,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
name,varchar(10),not null/unique,이름,,,,,,,,
address,varchar(100),,주소,,,,,,,,
phone,varchar(100),,전화번호,,,,,,,,
,,,,,,,,,,,
parts,,,부서 ,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
name,varchar(10),not null/unique,부서이름,,,,,,,,
level,int,not null,그룹 레벨,,,,,,,,
,,,,,,,,,,,
level,,,권한,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
name,varchar(10),not null/unique,부서이름,,,,,,,,
level,int,not null,그룹 레벨,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DOCUMENT,,,,,,,,,,,
doc_list,,,,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
type,int,not null/types,문서타입,,,,,,,,
name,varchar(10),not null/unique,문서이름,,,,,,,,
filename,varchar(20),not null,파일이름,,,,,,,,
path,varchar(20),not null,서버 경로,,,,,,,,
language,int,languages ,언어,,,,,,,,
reference,varchar(20),,관련분야,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
types,,,문서타입,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
mtype,varchar(10),not null/unique,"doc, pdf",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
languages ,,,,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
mlanguage,varchar(10),not null/unique,english,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
기타 관리,,,,,,,,,,,
,,,,,,,,,,,
forbidden,,,금지어 목록,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
text,varchar(10),not null/unique,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arglass Device,,,,,,,,,,,
device,,,단말기(앱) 관리,,,,,,,,
idx,"int, key",not null,,,,,,,,,
wdate,datetime,not null,,,,,,,,,
name,varchar(20),not null/unique,,,,,,,,,
password,varchar(20),not null/unique,,,,,,,,,
location,int,not null,단말기 사용 위치,,,,,,,,
version,varchar(20),not null,설치 앱 버전,,,,,,,,
